question,answer,keywords
Is it allowed to combine prayers during travel?,A traveler may combine Dhuhr with Asr and Maghrib with Isha when there is difficulty.,travel;prayer;combining
What is the minimum age for fasting?,Fasting becomes obligatory after puberty, but children may practice earlier.,fasting;age;ramadan
Is intention necessary before fasting?,Yes, intention must be made before Fajr for obligatory fasts.,intention;fasting;niyyah
Can one pray without a sutrah?,It is recommended to pray with a sutrah but prayer is valid without it.,prayer;sutrah;ruling
Is it permissible to wipe over socks in wudu?,Yes, wiping over socks is allowed under specific conditions.,wudu;socks;masah
Does laughing break prayer?,Laughing loudly invalidates the prayer, while smiling does not.,prayer;laughter;ruling
Can women attend the mosque?,Women are permitted to attend the mosque, though praying at home is better.,mosque;women;prayer
Is making dua after salah allowed?,Yes, making dua after salah is permissible.,dua;salah;ruling
What nullifies tayammum?,Tayammum is nullified by anything that nullifies wudu or availability of water.,tayammum;purification
Is it allowed to pray sitting?,One may pray sitting if unable to stand.,prayer;health;standing

ವುದು ಮುರಿಯುವ ಕಾರಣಗಳು ಯಾವುವು?,ಮೂತ್ರ, ಶೌಚ, ಅನಿಲ, ವಾಂತಿ ಮುಂತಾದವುಗಳು ವುದುವನ್ನು ಮುರಿಯುತ್ತವೆ.,wudu;purification
ತಯಮ್ಮುಮ್ ಎಂದರೇನು?,ನೀರಿಲ್ಲದ ಸಂದರ್ಭದಲ್ಲಿಅಥವಾ ಬಳಸಲು ಸಾಧ್ಯವಿಲ್ಲದಿದ್ದಾಗ ಮಣ್ಣಿನಿಂದ ಶುದ್ಧೀಕರಣ ಮಾಡುವುದು ತಯಮ್ಮುಮ್.,tayammum;purification
ನಮಾಜಿನಲ್ಲಿ ಸುನ್ನತ್ ಎಂದರೇನು?,ಪ್ರವಾದಿ ಮುಹಮ್ಮದ್ ﷺ ನಿಯಮಿತವಾಗಿ ಮಾಡಿದ ಕಾರ್ಯಗಳನ್ನು ಸುನ್ನತ್ ಎಂದು ಕರೆಯುತ್ತಾರೆ.,sunnah;prayer
ರಮಝಾನ್ ತಿಂಗಳಲ್ಲಿ ಉಪವಾಸ ಏಕೆ ಮಾಡಬೇಕು?,ಅಲ್ಲಾಹ್ ಆದೇಶಿಸಿದ ಕಾರಣ ರಮಝಾನಿನಲ್ಲಿ ಉಪವಾಸ ಕಡ್ಡಾಯವಾಗಿದೆ.,ramadan;fasting
ನಮಾಜ್ ಮುರಿಯುವ ಕಾರಣಗಳು ಯಾವುವು?,ಮಾತನಾಡುವುದು, ನಗುವುದು, ದಿಕ್ಕು ತಿರುಗುವುದು ಮುಂತಾದವುಗಳಿಂದ ನಮಾಜ್ ಮುರಿಯುತ್ತದೆ.,prayer;ruling
ಜಮಾಅತ್ ನಮಾಜ್的重要ತೆ ಏನು?,ಜಮಾಅತ್ ನಮಾಜ್ ಹೆಚ್ಚು ಪ್ರತಿಫಲ ನೀಡುತ್ತದೆ ಮತ್ತು ಏಕತೆ ಬೆಳೆಸುತ್ತದೆ.,jamaah;prayer
ಮಸೀದಿಗೆ ಹೋಗುವುದು ಕಡ್ಡಾಯವೇ?,ಪುರುಷರಿಗೆ ಸಾಧ್ಯವಾದಷ್ಟು ಮಸೀದಿಯಲ್ಲಿ ನಮಾಜ್ ಮಾಡುವುದು ಶ್ರೇಷ್ಟ.,mosque;prayer
ಜಕಾತ್ ಯಾರಿಗೆ ಕೊಡಬೇಕು?,ಬಡವರು, ಸಾಲಗಾರರು ಮತ್ತು ಅಗತ್ಯವಿರುವವರಿಗೆ ಜಕಾತ್ ಕೊಡಬೇಕು.,zakat;charity
ದುಆ ಎಂದರೇನು?,ಅಲ್ಲಾಹ್‌ಗಿಂತ ಬೇಡಿಕೆ ಇಡುವ ಪ್ರಾರ್ಥನೆಗೆ ದುಆ ಎಂದು ಕರೆಯುತ್ತಾರೆ.,dua;worship
ಘುಸಲ್ ಯಾವಾಗ ಕಡ್ಡಾಯ?,ಜನಾಬತ್ ಸ್ಥಿತಿ ಬಂದಾಗ ಅಥವಾ ಮಾಸಿಕ ನಂತರ ಘುಸಲ್ ಕಡ್ಡಾಯ.,ghusl;purification

Is eating forgetfully during fasting allowed?,If one eats forgetfully the fast remains valid.,fasting;forgetfulness
Can makeup invalidate wudu?,Makeup does not invalidate wudu unless it blocks water.,wudu;makeup
Is praying barefoot allowed?,Praying barefoot is permissible and sometimes recommended.,prayer;footwear
What is the reward of patience?,Patience brings immense reward without measure.,patience;reward
Is greeting obligatory in Islam?,Responding to salam is obligatory.,salam;manners
Can one pray while sick?,A sick person should pray according to their ability.,prayer;health
Is backbiting a major sin?,Backbiting is a grave sin and severely condemned.,ethics;sin
Can children pray in the mosque?,Children may attend mosques if they maintain decorum.,mosque;children
Is it allowed to delay salah?,Delaying salah without excuse is sinful.,prayer;timing
What is the importance of sincerity?,Sincerity is essential for acceptance of worship.,intention;sincerity
